,,Average expenditure per household ($),,,,,,,,,,,,,,,,,,,,,,,,
Geography,Statistic,Lowest quintile,,,,,Second quintile,,,,,Third quintile,,,,,Fourth quintile,,,,,Highest quintile,,,,
Manitoba,Recreation,"1,467",..,"1,694",..,"1,808","2,288",..,"2,604",..,"4,033","3,004",..,"3,714",..,"4,128","4,997",..,"5,076",..,"4,889","8,382",..,"9,778",..,"8,208"
Manitoba,Education,F,..,F,..,844,F,..,F,..,823,"1,229",..,911,..,"1,033","1,403",..,"1,446",..,"1,365","2,714",..,"2,582",..,"3,467"
Manitoba,Reading materials and other printed matter,F,..,F,..,51,103,..,116,..,259,169,..,131,..,176,160,..,161,..,238,244,..,278,..,287
Manitoba,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,081",..,"1,566",..,..,"1,285",..,"1,321",..,..,"1,247",..,"1,979",..,..,"1,716",..,"1,945",..,..,"2,892",..,"3,159"
Manitoba,Tobacco products and alcoholic beverages (Terminated),555t,..t,..t,..t,..t,754t,..t,..t,..t,..t,951t,..t,..t,..t,..t,"1,581t",..t,..t,..t,..t,"2,004t",..t,..t,..t,..t
Manitoba,Games of chance,F,..,F,..,F,F,..,F,..,F,F,..,F,..,193,181,..,F,..,267,F,..,429,..,F
Manitoba,Miscellaneous expenditures,790,..,"1,028",..,863,"1,107",..,"1,262",..,757,"1,938",..,"1,496",..,"1,183","2,327",..,"1,922",..,"1,956","4,206",..,"3,366",..,"2,686"
Saskatchewan,Total expenditure,"38,335",..,"38,748",..,"41,615","57,555",..,"58,991",..,"58,555","78,107",..,"79,056",..,"71,804","105,187",..,"117,870",..,"108,903","164,760",..,"184,893",..,"172,883"
Saskatchewan,Food expenditures,"4,545",..,"4,868",..,"7,399","7,354",..,"7,837",..,"9,532","9,063",..,"9,161",..,"9,501","11,196",..,"12,785",..,"14,166","15,737",..,"17,472",..,"18,026"
Saskatchewan,Shelter,"10,899",..,"12,568",..,"11,229","15,213",..,"14,162",..,"14,429","16,883",..,"17,304",..,"16,492","19,480",..,"24,125",..,"22,589","25,038",..,"28,995",..,"29,629"
Saskatchewan,Household operations,"2,658",..,"3,468",..,"3,577","3,892",..,"4,538",..,"4,154","4,888",..,"5,789",..,"5,073","5,682",..,"8,311",..,"6,547","7,966",..,"8,592",..,"9,046"
Saskatchewan,Household furnishings and equipment,"1,019",..,"1,010",..,"1,363","1,870",..,"2,231",..,"2,577","2,354",..,"2,266",..,"2,384","2,601",..,"3,001",..,"3,576","4,618",..,"3,776",..,"6,320"
Saskatchewan,Clothing and accessories,"1,392",..,"1,655",..,"1,019","2,564",..,"1,851",..,"1,229","3,434",..,"2,660",..,"1,851","3,839",..,"3,600",..,"2,463","5,370",..,"4,928",..,"3,662"
Saskatchewan,Private transportation,"6,492",..,"4,883",..,"5,546","7,464",..,"7,710",..,"7,299","12,215",..,"10,707",..,"9,339","15,821",..,"17,411",..,"11,986","21,399",..,"23,846",..,"17,631"
Saskatchewan,Public transportation,467,..,663,..,171,568,..,843,..,308,685,..,820,..,324,779,..,"1,407",..,358,"1,661",..,"1,877",..,487
Saskatchewan,Health care,"1,730",..,"2,013",..,"1,861","2,262",..,"2,433",..,"3,280","2,410",..,"3,002",..,"2,518","2,779",..,"3,494",..,"3,757","3,787",..,"3,528",..,"4,184"
Saskatchewan,Personal care,602,..,644,..,F,753,..,678,..,"1,430",888,..,"1,023",..,"1,168","1,333",..,"1,842",..,"2,798","1,831",..,"2,214",..,"2,556"
Saskatchewan,Recreation,F,..,"1,760",..,"1,904","3,196",..,"2,721",..,"3,810","3,892",..,"4,649",..,"4,181","5,070",..,"6,378",..,"5,418","9,754",..,"11,873",..,"11,447"
Saskatchewan,Education,F,..,F,..,595,"1,263",..,F,..,693,993,..,"1,050",..,"1,082","1,360",..,907,..,"2,001","2,538",..,"2,341",..,"2,671"
Saskatchewan,Reading materials and other printed matter,F,..,73,..,79,178,..,83,..,138,126,..,147,..,165,163,..,215,..,268,242,..,206,..,266
Saskatchewan,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,427",..,"1,623",..,..,"1,534",..,"1,502",..,..,"2,027",..,"1,571",..,..,"2,833",..,"3,365",..,..,"3,183",..,"3,330"
Saskatchewan,Tobacco products and alcoholic beverages (Terminated),Ft,..t,..t,..t,..t,"1,075t",..t,..t,..t,..t,"1,635t",..t,..t,..t,..t,"2,183t",..t,..t,..t,..t,"2,973t",..t,..t,..t,..t
Saskatchewan,Games of chance,256,..,F,..,F,F,..,221,..,113,F,..,F,..,226,F,..,283,..,147,F,..,F,..,209
